OMIM_ID	DO_ID
OMIM:157170	DOID:4621
OMIM:157300	DOID:6364
OMIM:157640	DOID:539
OMIM:158000	DOID:0050472
OMIM:158300	DOID:0050646
OMIM:158320	DOID:0050465
OMIM:158330	DOID:11613
OMIM:158350	DOID:6457
OMIM:158580	DOID:12377
OMIM:158590	DOID:0050582
OMIM:158600	DOID:0060160
OMIM:158810	DOID:0050663
OMIM:158901	DOID:11727
OMIM:159000	DOID:11724
OMIM:159001	DOID:11724
OMIM:159900	DOID:0050835
OMIM:159950	DOID:11720
OMIM:160120	DOID:963
OMIM:160150	DOID:14717
OMIM:160500	DOID:11720
OMIM:160565	DOID:14717
OMIM:160800	DOID:2106
OMIM:160900	DOID:11722
OMIM:160980	DOID:0050471
OMIM:161000	DOID:14693
OMIM:161200	DOID:9467
OMIM:161400	DOID:8986
OMIM:161800	DOID:3191
OMIM:162000	DOID:0060062
OMIM:162091	DOID:3204
OMIM:162100	DOID:10383
OMIM:162200	DOID:8712
OMIM:162210	DOID:8712
OMIM:162300	DOID:10016
OMIM:162350	DOID:14503
OMIM:162400	DOID:0050548
OMIM:162500	DOID:2477
OMIM:162800	DOID:5339
OMIM:162830	DOID:9500
OMIM:162900	DOID:14693
OMIM:163000	DOID:37
OMIM:163200	DOID:14693
OMIM:163500	DOID:0050534
OMIM:163800	DOID:13884
OMIM:163950	DOID:3490
OMIM:164200	DOID:0060291
OMIM:164230	DOID:10933
OMIM:164280	DOID:1059
OMIM:164300	DOID:11719
OMIM:164400	DOID:1441
OMIM:164500	DOID:14784
OMIM:165300	DOID:5723
OMIM:165500	DOID:5723
OMIM:165550	DOID:14555
OMIM:165720	DOID:8398
OMIM:165800	DOID:84
OMIM:166200	DOID:12347
OMIM:166210	DOID:12347
OMIM:166220	DOID:12347
OMIM:166250	DOID:12721
OMIM:166260	DOID:12347
OMIM:166300	DOID:0080001
OMIM:166350	DOID:37
OMIM:166600	DOID:13533
OMIM:166700	DOID:11991
OMIM:166710	DOID:11476
OMIM:167000	DOID:2394
OMIM:167200	DOID:0050449
OMIM:167210	DOID:0050449
OMIM:167320	DOID:0050881
OMIM:167400	DOID:863
OMIM:167800	DOID:4989
OMIM:167870	DOID:594
OMIM:168000	DOID:0050773
OMIM:168300	DOID:0050759
OMIM:168400	DOID:1059
OMIM:168500	DOID:0060285
OMIM:168550	DOID:13994
OMIM:168600	DOID:14330
OMIM:168601	DOID:14330
OMIM:168605	DOID:1596
OMIM:169100	DOID:13832
OMIM:169150	DOID:8501
OMIM:169400	DOID:9631
OMIM:169500	DOID:3210
OMIM:169600	DOID:0050429
OMIM:170100	DOID:9252
OMIM:170390	DOID:0050434
OMIM:170400	DOID:14452
OMIM:170500	DOID:14451
OMIM:170650	DOID:1474
OMIM:171300	DOID:0050771
OMIM:171400	DOID:0050430
OMIM:172700	DOID:11870
OMIM:172800	DOID:3263
OMIM:172870	DOID:8466
OMIM:173100	DOID:9406
OMIM:173200	DOID:9212
OMIM:173600	DOID:1532
OMIM:173900	DOID:898
OMIM:174000	DOID:898
OMIM:174050	DOID:0050770
