Ensembl_Gene_ID	Disease_ID	In_PhenoRank_Benchmarking
ENSG00000047579	OMIM:614076	FALSE
ENSG00000047597	OMIM:300842	FALSE
ENSG00000048342	OMIM:213300	TRUE
ENSG00000048342	OMIM:216360	TRUE
ENSG00000048342	OMIM:612284	FALSE
ENSG00000048342	OMIM:612285	FALSE
ENSG00000048392	OMIM:612075	FALSE
ENSG00000048392	OMIM:613077	FALSE
ENSG00000048545	OMIM:602093	TRUE
ENSG00000049089	OMIM:600204	TRUE
ENSG00000049089	OMIM:603932	TRUE
ENSG00000049089	OMIM:614284	FALSE
ENSG00000049130	OMIM:145250	TRUE
ENSG00000049130	OMIM:611664	FALSE
ENSG00000049130	OMIM:616697	FALSE
ENSG00000049167	OMIM:216400	TRUE
ENSG00000049167	OMIM:614621	FALSE
ENSG00000049239	OMIM:604931	TRUE
ENSG00000049246	OMIM:616882	FALSE
ENSG00000049319	OMIM:264600	FALSE
ENSG00000049540	OMIM:123700	TRUE
ENSG00000049540	OMIM:185500	TRUE
ENSG00000049618	OMIM:135900	TRUE
ENSG00000049768	OMIM:222100	TRUE
ENSG00000049768	OMIM:304790	TRUE
ENSG00000049860	OMIM:268800	TRUE
ENSG00000050030	OMIM:300912	FALSE
ENSG00000050555	OMIM:614115	FALSE
ENSG00000051180	OMIM:114480	TRUE
ENSG00000051180	OMIM:614508	FALSE
ENSG00000051523	OMIM:233690	FALSE
ENSG00000052802	OMIM:616834	FALSE
ENSG00000052850	OMIM:609597	FALSE
ENSG00000052850	OMIM:613451	FALSE
ENSG00000052850	OMIM:615529	FALSE
ENSG00000053747	OMIM:226650	TRUE
ENSG00000053747	OMIM:226700	TRUE
ENSG00000053747	OMIM:245660	TRUE
ENSG00000053918	OMIM:115000	FALSE
ENSG00000053918	OMIM:192500	FALSE
ENSG00000053918	OMIM:220400	FALSE
ENSG00000053918	OMIM:607554	FALSE
ENSG00000053918	OMIM:609621	FALSE
ENSG00000054523	OMIM:118210	TRUE
ENSG00000054523	OMIM:171300	TRUE
ENSG00000054523	OMIM:256700	TRUE
ENSG00000054598	OMIM:601631	TRUE
ENSG00000054598	OMIM:602482	TRUE
ENSG00000054598	OMIM:604229	TRUE
ENSG00000054654	OMIM:612999	FALSE
ENSG00000054983	OMIM:245200	TRUE
ENSG00000055118	OMIM:115000	TRUE
ENSG00000055118	OMIM:609620	FALSE
ENSG00000055118	OMIM:613688	FALSE
ENSG00000055208	OMIM:614980	FALSE
ENSG00000055955	OMIM:143890	TRUE
ENSG00000056972	OMIM:614070	FALSE
ENSG00000056972	OMIM:615527	FALSE
ENSG00000057294	OMIM:609040	FALSE
ENSG00000057593	OMIM:227500	TRUE
ENSG00000057593	OMIM:608446	TRUE
ENSG00000058085	OMIM:226650	TRUE
ENSG00000058085	OMIM:226700	TRUE
ENSG00000058262	OMIM:617056	FALSE
ENSG00000059377	OMIM:231095	TRUE
ENSG00000059573	OMIM:219150	TRUE
ENSG00000059573	OMIM:601162	TRUE
ENSG00000059573	OMIM:616586	FALSE
ENSG00000059573	OMIM:616603	FALSE
ENSG00000060069	OMIM:604168	TRUE
ENSG00000060237	OMIM:201300	TRUE
ENSG00000060237	OMIM:614492	FALSE
ENSG00000060642	OMIM:239300	TRUE
ENSG00000060718	OMIM:154780	TRUE
ENSG00000060718	OMIM:228520	TRUE
ENSG00000060718	OMIM:603932	TRUE
ENSG00000060718	OMIM:604841	TRUE
ENSG00000060762	OMIM:614741	FALSE
ENSG00000061337	OMIM:133239	TRUE
ENSG00000061455	OMIM:617039	FALSE
ENSG00000062038	OMIM:225280	TRUE
ENSG00000062038	OMIM:601553	TRUE
ENSG00000062598	OMIM:606893	FALSE
ENSG00000062822	OMIM:612591	FALSE
ENSG00000062822	OMIM:615381	FALSE
ENSG00000064012	OMIM:114480	TRUE
ENSG00000064012	OMIM:114550	TRUE
ENSG00000064012	OMIM:211980	TRUE
ENSG00000064012	OMIM:607271	TRUE
ENSG00000064195	OMIM:104510	TRUE
ENSG00000064195	OMIM:190320	TRUE
ENSG00000064309	OMIM:614226	FALSE
ENSG00000064313	OMIM:615599	FALSE
ENSG00000064419	OMIM:608423	TRUE
ENSG00000064490	OMIM:209920	TRUE
ENSG00000064601	OMIM:256540	FALSE
ENSG00000064687	OMIM:608907	FALSE
ENSG00000064835	OMIM:613038	FALSE
ENSG00000065000	OMIM:617050	FALSE
ENSG00000065057	OMIM:616415	FALSE
ENSG00000065135	OMIM:602483	TRUE
ENSG00000065154	OMIM:258870	TRUE
ENSG00000065361	OMIM:607598	TRUE
ENSG00000065427	OMIM:613641	FALSE
ENSG00000065427	OMIM:613916	FALSE
ENSG00000065534	OMIM:613780	FALSE
ENSG00000065618	OMIM:122400	TRUE
ENSG00000065618	OMIM:226650	TRUE
ENSG00000066084	OMIM:136630	TRUE
ENSG00000066230	OMIM:616868	FALSE
ENSG00000066279	OMIM:608716	TRUE
ENSG00000066427	OMIM:109150	TRUE
ENSG00000066468	OMIM:101200	TRUE
ENSG00000066468	OMIM:101400	TRUE
ENSG00000066468	OMIM:101600	TRUE
ENSG00000066468	OMIM:123150	TRUE
ENSG00000066468	OMIM:123500	TRUE
ENSG00000066468	OMIM:123790	TRUE
ENSG00000066468	OMIM:149730	TRUE
ENSG00000066468	OMIM:207410	TRUE
ENSG00000066468	OMIM:609579	FALSE
ENSG00000066468	OMIM:613659	FALSE
ENSG00000066468	OMIM:614592	FALSE
ENSG00000066629	OMIM:600348	TRUE
ENSG00000066827	OMIM:608175	TRUE
ENSG00000066923	OMIM:615723	FALSE
ENSG00000066926	OMIM:177000	TRUE
ENSG00000067082	OMIM:176807	TRUE
ENSG00000067082	OMIM:613659	FALSE
ENSG00000067177	OMIM:300559	FALSE
ENSG00000067182	OMIM:142680	TRUE
ENSG00000067182	OMIM:614810	FALSE
ENSG00000067704	OMIM:616007	FALSE
ENSG00000067836	OMIM:226750	TRUE
ENSG00000067842	OMIM:302500	TRUE
ENSG00000067992	OMIM:300905	FALSE
ENSG00000068078	OMIM:100800	TRUE
ENSG00000068078	OMIM:109800	TRUE
ENSG00000068078	OMIM:114500	TRUE
ENSG00000068078	OMIM:146000	TRUE
ENSG00000068078	OMIM:149730	TRUE
ENSG00000068078	OMIM:162900	TRUE
ENSG00000068078	OMIM:182000	TRUE
ENSG00000068078	OMIM:187600	TRUE
ENSG00000068078	OMIM:187601	TRUE
ENSG00000068078	OMIM:273300	TRUE
ENSG00000068078	OMIM:602849	TRUE
ENSG00000068078	OMIM:603956	TRUE
ENSG00000068078	OMIM:610474	FALSE
ENSG00000068078	OMIM:612247	FALSE
ENSG00000068078	OMIM:616482	FALSE
ENSG00000068120	OMIM:615643	FALSE
ENSG00000068305	OMIM:608320	TRUE
ENSG00000068323	OMIM:300854	FALSE
ENSG00000068366	OMIM:300387	TRUE
ENSG00000068438	OMIM:309549	TRUE
ENSG00000068615	OMIM:610250	FALSE
ENSG00000068615	OMIM:614751	FALSE
ENSG00000068654	OMIM:616462	FALSE
ENSG00000068724	OMIM:243150	TRUE
ENSG00000068796	OMIM:615411	FALSE
ENSG00000068831	OMIM:615888	FALSE
ENSG00000068885	OMIM:611263	FALSE
ENSG00000068976	OMIM:232600	FALSE
ENSG00000069011	OMIM:119800	TRUE
ENSG00000069329	OMIM:614203	FALSE
ENSG00000069431	OMIM:239850	TRUE
ENSG00000069431	OMIM:608569	TRUE
ENSG00000069431	OMIM:614050	FALSE
ENSG00000069482	OMIM:616461	FALSE
ENSG00000069696	OMIM:143465	TRUE
ENSG00000069974	OMIM:607624	TRUE
ENSG00000070018	OMIM:610947	FALSE
ENSG00000070018	OMIM:616724	FALSE
ENSG00000070019	OMIM:614616	FALSE
ENSG00000070019	OMIM:614665	FALSE
ENSG00000070061	OMIM:223900	TRUE
ENSG00000070182	OMIM:182870	FALSE
ENSG00000070182	OMIM:616649	FALSE
ENSG00000070193	OMIM:149730	TRUE
ENSG00000070193	OMIM:180920	TRUE
ENSG00000070610	OMIM:614409	FALSE
ENSG00000070614	OMIM:616116	FALSE
ENSG00000070669	OMIM:615574	FALSE
ENSG00000070729	OMIM:613767	FALSE
ENSG00000070748	OMIM:254210	TRUE
ENSG00000070785	OMIM:603896	TRUE
ENSG00000070814	OMIM:154500	TRUE
ENSG00000070831	OMIM:616737	FALSE
ENSG00000070915	OMIM:263800	TRUE
ENSG00000071243	OMIM:275355	FALSE
ENSG00000071553	OMIM:300972	FALSE
ENSG00000071564	OMIM:616941	FALSE
ENSG00000072042	OMIM:616108	FALSE
ENSG00000072062	OMIM:615830	FALSE
ENSG00000072110	OMIM:615193	FALSE
ENSG00000072121	OMIM:270700	TRUE
ENSG00000072163	OMIM:616827	FALSE
ENSG00000072195	OMIM:615959	FALSE
ENSG00000072210	OMIM:270200	TRUE
ENSG00000072274	OMIM:616740	FALSE
ENSG00000072364	OMIM:616368	FALSE
ENSG00000072501	OMIM:300590	FALSE
ENSG00000072506	OMIM:300220	TRUE
ENSG00000072506	OMIM:300438	TRUE
ENSG00000072571	OMIM:114480	TRUE
ENSG00000072694	OMIM:152700	TRUE
ENSG00000072694	OMIM:611162	FALSE
ENSG00000072756	OMIM:616084	FALSE
ENSG00000072756	OMIM:616959	FALSE
ENSG00000072778	OMIM:201475	TRUE
ENSG00000072786	OMIM:273300	TRUE
ENSG00000072840	OMIM:193530	TRUE
ENSG00000072840	OMIM:225500	TRUE
ENSG00000072864	OMIM:605013	TRUE
ENSG00000072864	OMIM:614019	FALSE
ENSG00000073009	OMIM:300291	FALSE
ENSG00000073009	OMIM:300584	FALSE
ENSG00000073009	OMIM:300636	FALSE
ENSG00000073009	OMIM:300640	FALSE
ENSG00000073009	OMIM:308300	FALSE
ENSG00000073060	OMIM:610762	FALSE
ENSG00000073111	OMIM:616968	FALSE
ENSG00000073282	OMIM:103285	TRUE
ENSG00000073282	OMIM:106260	TRUE
ENSG00000073282	OMIM:129400	TRUE
ENSG00000073282	OMIM:603543	TRUE
ENSG00000073282	OMIM:604292	TRUE
ENSG00000073282	OMIM:605289	TRUE
ENSG00000073464	OMIM:300114	FALSE
ENSG00000073578	OMIM:252011	TRUE
ENSG00000073578	OMIM:256000	TRUE
ENSG00000073578	OMIM:604287	TRUE
ENSG00000073578	OMIM:613642	FALSE
ENSG00000073578	OMIM:614165	FALSE
ENSG00000073584	OMIM:607174	TRUE
ENSG00000073584	OMIM:616938	FALSE
ENSG00000073734	OMIM:601847	FALSE
